Site,Period,Pop,Growth,Squared,Mean (short),sd,CV,Mean(long),Updated,lcl,ucl,growth,squared,lcl_growth,lcl_squared,ucl_growth,ucl_squared,longterm,lcl_longterm,ucl_longterm,sd,sd_lcl,sd_ucl,cv,cv_lcl,cv_ucl
A.Dhidhdhoo,1,31.01,,,,,,,36.68,20.48,100.74,,,,,,,,,,,,,,,
A.Dhidhdhoo,2,56.84,1.83,3.36,,,,,61.49,52.52,81.17,1.67639040348964,2.81,2.56,6.58,0.81,0.65,,,,,,,,,
A.Dhidhdhoo,3,63.8,1.12,1.26,,,,,64.69,58.29,78.82,1.05204098227354,1.11,1.11,1.23,0.97,0.94,,,,,,,,,
A.Dhidhdhoo,4,46.37,0.73,0.53,,,,,46.79,28.86,87.88,0.723295718039883,0.52,0.50,0.25,1.11,1.24,,,,,,,,,
A.Dhidhdhoo,5,41.88,0.90,0.82,,,,,42.17,32.09,64.82,0.901260953195127,0.81,1.11,1.24,0.74,0.54,,,,,,,,,
A.Dhidhdhoo,6,58.82,1.40,1.97,,,,,59.9,43.14,95.2,1.42044107185203,2.02,1.34,1.81,1.47,2.16,,,,,,,,,
A.Dhidhdhoo,7,74.09,1.26,1.59,,,,,76.74,39.76,166.23,1.28113522537563,1.64,0.92,0.85,1.75,3.05,,,,,,,,,
A.Dhidhdhoo,8,72.52,0.98,0.96,1.4973,0.95,0.636730197857271,1.23662780532697,74.61,46.96,135.55,0.972243940578577,0.95,1.18,1.39,0.82,0.66,1.22491248391366,1.26756691767516,1.08849860973869,0.80,2.12,0.94,0.57,1.11,0.71
B. Dhonfanu,1,18,,,,,,,18,18,18,,0.00,0.38,0.15,0.13,0.02,,,,,,,,,
B. Dhonfanu,2,20,1.11,1.23,,,,,20,20,20,1.11111111111111,1.23,1.11,1.23,1.11,1.23,,,,,,,,,
B. Dhonfanu,3,20,1.00,1.00,,,,,20,20,20,1,1.00,1.00,1.00,1.00,1.00,,,,,,,,,
B. Dhonfanu,4,22,1.10,1.21,,,,,22,22,22,1.1,1.21,1.10,1.21,1.10,1.21,,,,,,,,,
B. Dhonfanu,5,14,0.64,0.40,,,,,14,14,14,0.636363636363636,0.40,0.64,0.40,0.64,0.40,,,,,,,,,
B. Dhonfanu,6,13.56,0.97,0.94,,,,,13.56,13.04,21.69,0.968571428571429,0.94,0.93,0.87,1.55,2.40,,,,,,,,,
B. Dhonfanu,7,10,0.74,0.54,,,,,10,10,10,0.737463126843658,0.54,0.77,0.59,0.46,0.21,,,,,,,,,
B. Dhonfanu,8,16.88,1.69,2.85,1.1687,0.80,0.688610034158101,0.984067716041735,16.88,14.61,27.66,1.688,2.85,1.46,2.13,2.77,7.65,0.981812491948737,0.942123674762471,1.13059868848336,0.80,0.56,2.58,0.69,0.53,1.28
K.BHHR,1,20.92,,,,,,,20.92,19.4,28.17,,,,,,,,,,,,,,,
K.BHHR,2,24.47,1.17,1.37,,,,,24.47,23.25,31.5,1.16969407265774,1.37,1.20,1.44,1.12,1.25,,,,,,,,,
K.BHHR,3,25.53,1.04,1.09,,,,,25.53,24.27,32.65,1.04331834899877,1.09,1.04,1.09,1.04,1.07,,,,,,,,,
K.BHHR,4,20.10,0.79,0.62,,,,,20.10,19.15,29.91,0.79,0.62,0.79,0.62,0.92,0.84,,,,,,,,,
